"","CONGLOMERADO","NSELUA","N_PARCELAS","SUPERFICIE_TOTAL_HECT."
"1","01306","00016",1,6.5
"2","01306","00023",1,1.25
"3","01306","00032",1,0.25
"4","01306","00034",1,4.5
"5","01306","00051",1,9
"6","01306","00063",1,4
"7","01306","00073",2,4.1
"8","01306","00083",1,3.5
"9","01306","00093",1,1.7
"10","01306","00103",1,3
"11","01306","00119",1,5
"12","01306","00120",1,1
"13","01306","00122",1,0.5
"14","01306","00134",1,3
"15","01316","00001",1,29
"16","01316","00009",1,20.9
"17","01316","00023",1,4.79
"18","01316","00027",1,28
"19","01316","00031",1,4
"20","01316","00032",2,29
"21","01316","00035",1,16
"22","01316","00056",1,15
"23","01316","00057",2,6.56
"24","01316","00059",1,120
"25","01316","00067",2,3.45
"26","01316","00071",1,4
"27","01316","00084",2,2.3
"28","01316","00098",1,3
"29","01319","00002",5,41
"30","01319","00006",1,1
"31","01319","00020",1,3.25
"32","01319","00032",2,1.5
"33","01319","00050",1,1
"34","01319","00063",1,4
"35","01319","00064",1,5
"36","01319","00077",1,1
"37","01319","00079",1,1
"38","01319","00095",2,2.85
"39","01319","00112",3,7.5
"40","01319","00129",2,3
"41","01319","00143",2,1
"42","01319","00163",2,2.15
"43","01328","00012",1,10
"44","01328","00020",1,10
"45","01328","00037",1,2
"46","01328","00041",1,1.5
"47","01328","00047",1,2
"48","01328","00056",1,5
"49","01328","00066",1,1.45
"50","01328","00084",2,4.95
"51","01328","00107",1,1.5
"52","01328","00113",1,18
"53","01328","00132",1,4.75
"54","01328","00137",1,2.75
"55","01328","00160",1,5
"56","01342","00010",4,19
"57","01342","00019",2,1.25
"58","01342","00034",1,0.2
"59","01342","00047",1,1.5
"60","01342","00048",2,0.175
"61","01342","00060",5,7.5
"62","01342","00063",1,0.5
"63","01342","00084",3,1.25
"64","01342","00089",4,4.75
"65","01342","00104",1,5.8
"66","01342","00118",1,2
"67","01342","00121",2,0.625
"68","01342","00123",1,1
"69","01342","00127",1,0.125
"70","01346","00003",1,0.25
"71","01346","00017",2,10
"72","01346","00030",2,0.38
"73","01346","00035",1,0.18
"74","01346","00051",1,1.25
"75","01346","00057",2,0.5
"76","01346","00063",1,1
"77","01346","00074",2,0.7
"78","01346","00078",1,0.5
"79","01346","00085",1,0.75
"80","01346","00097",1,0.25
"81","01346","00106",2,0.5
"82","01346","00112",6,1
"83","01347","00006",4,1.45
"84","01347","00014",2,1.25
"85","01347","00023",1,0.75
"86","01347","00034",1,0.5
"87","01347","00036",2,1.5
"88","01347","00045",3,2.525
"89","01347","00053",5,5.75
"90","01347","00063",4,1.75
"91","01347","00069",1,0.2
"92","01347","00084",5,32
"93","01347","00085",3,3
"94","01347","00092",2,2.5
"95","01347","00094",2,0.65
"96","01348","00006",2,0.75
"97","01348","00020",4,3
"98","01348","00025",2,1
"99","01348","00033",2,2
"100","01348","00046",1,1
"101","01348","00060",4,1.5
"102","01348","00072",3,4
"103","01348","00073",3,5
"104","01348","00091",1,7
"105","01348","00099",1,1
"106","01348","00101",1,1
"107","01348","00116",2,2
"108","01348","00138",1,1
"109","01348","00139",2,2.5
"110","01361","00004",2,1
"111","01361","00011",2,10.25
"112","01361","00015",1,14
"113","01361","00029",1,1
"114","01361","00041",3,4
"115","01361","00049",1,3.5
"116","01361","00057",1,0.05
"117","01361","00070",2,3
"118","01361","00091",1,5
"119","01361","00105",1,4
"120","01361","00106",1,1
"121","01361","00121",2,1.02
"122","01361","00128",1,1
"123","01364","00006",1,25
"124","01364","00007",1,240
"125","01364","00008",1,9.1
"126","01364","00011",2,50
"127","01364","00035",2,35
"128","01364","00038",1,5
"129","01364","00042",1,5
"130","01364","00051",1,5
"131","01364","00060",1,5
"132","01364","00068",1,5
"133","01364","00075",1,5
"134","01364","00080",1,5
"135","01364","00088",2,0.56
"136","01367","00003",3,7
"137","01367","00004",2,6.7
"138","01367","00016",3,7
"139","01367","00039",1,13.5
"140","01367","00056",1,5
"141","01367","00061",2,3
"142","01367","00081",1,5
"143","01367","00122",1,7
"144","01367","00148",1,6
"145","01376","00001",2,3
"146","01376","00005",1,0.25
"147","01376","00016",2,3
"148","01376","00028",1,6
"149","01376","00031",1,1.2
"150","01376","00045",2,2.25
"151","01376","00055",1,1
"152","01376","00064",2,5.25
"153","01376","00077",2,4
"154","01376","00079",1,1
"155","01376","00080",7,8.8
"156","01376","00096",2,2.5
"157","01376","00109",2,4.25
"158","01376","00111",3,2.25
"159","01389","00004",1,2.5
"160","01389","00015",3,9.46
"161","01389","00017",3,1.601
"162","01389","00029",1,1.7
"163","01389","00030",2,3.07
"164","01389","00034",1,15
"165","01389","00048",2,3
"166","01389","00067",2,2.55
"167","01389","00069",2,1.807
"168","01389","00082",4,0.243
"169","01389","00095",2,0.619
"170","01389","00103",1,0.28
"171","01389","00119",1,0.648
"172","01389","00121",1,0.85
"173","01397","00005",2,1.75
"174","01397","00017",1,2
"175","01397","00023",2,0.75
"176","01397","00039",1,1.5
"177","01397","00047",1,3.5
"178","01397","00048",1,1.5
"179","01397","00050",2,1.2
"180","01397","00058",1,1.5
"181","01397","00061",4,5.8
"182","01397","00068",1,0.3
"183","01397","00081",3,5.75
"184","01397","00102",4,2
"185","01397","00103",1,1
"186","01397","00108",1,1.5
"187","01402","00005",2,1.04
"188","01402","00012",4,3.41
"189","01402","00020",3,1.95
"190","01402","00035",3,2.5
"191","01402","00038",1,0.09
"192","01402","00050",2,1
"193","01402","00053",1,0.44
"194","01402","00073",4,2.66
"195","01402","00074",1,3.45
"196","01402","00082",2,1.99
"197","01402","00085",1,0.07
"198","01402","00104",1,0.28
"199","01402","00106",1,0.5
"200","01411","00002",2,0.7
"201","01411","00007",4,1.75
"202","01411","00012",2,0.048
"203","01411","00022",1,1.5
"204","01411","00023",2,0.9
"205","01411","00027",7,12.9
"206","01411","00034",1,0.96
"207","01411","00045",2,2.32
"208","01411","00046",1,0.6
"209","01411","00053",1,0.05
"210","01411","00063",2,2.65
"211","01411","00065",1,1.3
"212","01411","00071",1,0.25
"213","01420","00004",1,0.44
"214","01420","00014",1,3.25
"215","01420","00021",2,1
"216","01420","00031",1,0.12
"217","01420","00037",2,0.22
"218","01420","00060",2,0.9
"219","01420","00072",2,0.75
"220","01420","00075",1,0.5
"221","01420","00085",1,0.06
"222","01420","00091",1,0.27
"223","01420","00109",1,0.25
"224","01420","00113",1,0.4
"225","01420","00114",1,0.5
"226","01420","00123",1,0.105
"227","01423","00002",1,2.44
"228","01423","00017",3,0.82
"229","01423","00019",2,1.69
"230","01423","00030",4,0.47
"231","01423","00036",1,1.29
"232","01423","00048",1,0.457
"233","01423","00054",3,2.33
"234","01423","00070",1,1
"235","01423","00071",1,0.15
"236","01423","00086",1,0.29
"237","01423","00096",1,0.23
"238","01423","00105",1,0.336
"239","01423","00118",2,2.69
"240","01423","00125",1,0.084
"241","01431","00003",1,0.83
"242","01431","00009",1,0.73
"243","01431","00012",4,1.73
"244","01431","00021",2,1.1
"245","01431","00027",4,0.64
"246","01431","00039",3,2.25
"247","01431","00043",3,3
"248","01431","00048",3,1.05
"249","01431","00049",3,1.25
"250","01431","00053",1,0.9
"251","01431","00074",3,0.83
"252","01431","00083",2,1
"253","01440","00007",1,1.5
"254","01440","00023",1,0.5
"255","01440","00027",1,0.15
"256","01440","00030",1,0.8
"257","01440","00041",1,1.8
"258","01440","00070",3,1
"259","01440","00077",1,0.45
"260","01440","00092",1,1
"261","01440","00094",2,1
"262","01440","00102",2,0.49
"263","01440","00119",2,1
"264","01440","00127",4,0.55
"265","01440","00131",2,1.5
"266","01440","00139",2,0.61
"267","01441","00002",6,3.38
"268","01441","00004",2,3.2
"269","01441","00012",1,0.17
"270","01441","00018",2,0.75
"271","01441","00034",2,0.74
"272","01441","00035",1,1
"273","01441","00048",2,1.155
"274","01441","00049",2,1.5
"275","01441","00066",2,0.55
"276","01441","00067",1,0.65
"277","01441","00082",1,0.33
"278","01441","00083",2,0.5
"279","01441","00087",2,0.56
"280","01441","00097",4,0.99
"281","01448","00001",1,4
"282","01448","00010",2,3
"283","01448","00017",2,3
"284","01448","00027",1,4
"285","01448","00030",2,4.75
"286","01448","00044",1,1.4
"287","01448","00048",2,2.2
"288","01448","00054",2,6
"289","01448","00070",1,1
"290","01448","00079",2,1.53
"291","01448","00083",2,1.626
"292","01448","00084",1,1.5
"293","01448","00087",1,0.5
"294","01448","00104",4,3.45
"295","01449","00004",3,4.35
"296","01449","00007",2,1
"297","01449","00009",2,0.085
"298","01449","00014",3,0.35
"299","01449","00023",1,0.1
"300","01449","00036",1,0.2
"301","01449","00057",4,1.7
"302","01449","00069",4,3.75
"303","01449","00077",1,8
"304","01449","00084",2,30.5
"305","01449","00088",2,0.31
"306","01449","00097",3,1.875
"307","01449","00108",3,6.5
"308","01449","00116",1,8
"309","01456","00006",2,1.2
"310","01456","00010",1,0.42
"311","01456","00011",2,3.68
"312","01456","00020",1,1
"313","01456","00030",1,1
"314","01456","00036",1,0.5
"315","01456","00050",1,0.2
"316","01456","00058",2,1.3
"317","01456","00072",4,0.975
"318","01456","00087",1,3.5
"319","01456","00090",2,1
"320","01456","00106",2,1.2
"321","01456","00111",1,1
"322","01456","00114",1,0.5
"323","01481","00005",1,0.025
"324","01481","00009",1,3
"325","01481","00018",1,0.5
"326","01481","00021",2,0.66
"327","01481","00039",3,0.5
"328","01481","00047",1,1
"329","01481","00052",2,1
"330","01481","00068",1,3.8
"331","01481","00076",4,3.4
"332","01481","00080",2,2.4
"333","01481","00094",1,0.5
"334","01481","00110",1,0.1
"335","01481","00120",2,0.25
"336","01481","00126",3,0.2
"337","01484","00004",2,0.15
"338","01484","00010",1,1.5
"339","01484","00014",1,0.3
"340","01484","00020",5,0.855
"341","01484","00024",1,0.07
"342","01484","00029",2,0.7
"343","01484","00030",1,1
"344","01484","00036",3,0.64
"345","01484","00042",2,1.4
"346","01484","00045",1,0.25
"347","01484","00052",4,1.55
"348","01484","00058",1,0.125
"349","01484","00060",7,1.605
"350","01484","00067",2,0.65
"351","01485","00011",1,0.15
"352","01485","00013",7,2.015
"353","01485","00025",2,0.249
"354","01485","00029",1,0.02
"355","01485","00052",1,0.286
"356","01485","00053",2,1.4
"357","01485","00065",1,0.49
"358","01485","00068",1,0.37
"359","01485","00082",2,1.045
"360","01485","00089",1,0.34
"361","01485","00090",1,0.32
"362","01485","00095",6,1.61
"363","01485","00098",1,0.198
"364","01489","00003",2,0.5
"365","01489","00007",2,0.161
"366","01489","00017",2,1.009
"367","01489","00027",1,0.15
"368","01489","00034",4,1.18
"369","01489","00036",1,1.25
"370","01489","00040",2,1.5
"371","01489","00042",2,1.3
"372","01489","00055",2,5
"373","01489","00059",1,0.15
"374","01489","00070",1,0.5
"375","01489","00080",3,2.6
"376","01489","00093",2,0.23
"377","01489","00098",2,2.5
"378","01495","00002",1,0.045
"379","01495","00011",1,0.5
"380","01495","00025",1,0.1
"381","01495","00032",1,0.8
"382","01495","00044",3,5
"383","01495","00053",1,0.5
"384","01495","00070",2,0.45
"385","01495","00071",3,0.65
"386","01495","00080",2,1
"387","01495","00083",2,5
"388","01495","00091",1,1
"389","01495","00104",5,3.75
"390","01495","00105",2,1.2
"391","01502","00007",1,2
"392","01502","00034",1,0.5
"393","01502","00047",2,1.5
"394","01502","00057",3,4.9
"395","01502","00085",2,4
"396","01502","00099",1,0.5
"397","01502","00101",1,0.5
"398","01502","00110",1,2.4
"399","01502","00113",2,3.9
"400","01502","00118",2,3.25
"401","01502","00128",3,1.75
"402","01502","00145",1,1
"403","01505","00009",3,0.76
"404","01505","00028",1,0.38
"405","01505","00034",3,3.25
"406","01505","00049",1,3.75
"407","01505","00050",1,3
"408","01505","00052",2,4.4
"409","01505","00066",1,1.9
"410","01505","00082",4,2.95
"411","01505","00088",1,4
"412","01505","00099",2,0.7
"413","01505","00103",2,10
"414","01505","00105",1,2.5
"415","01505","00118",2,3.1
"416","01505","00136",1,2.4
"417","01513","00006",3,5.7
"418","01513","00008",1,0.5
"419","01513","00018",1,21.8
"420","01513","00023",4,2.75
"421","01513","00035",1,14.6
"422","01513","00039",1,1.5
"423","01513","00044",1,2.3
"424","01513","00056",6,3
"425","01513","00062",1,2.5
"426","01513","00076",4,3.75
"427","01513","00078",2,5
"428","01513","00086",3,6
"429","01513","00098",1,0.75
"430","01513","00103",1,1.5
"431","01524","00014",1,0.5
"432","01524","00027",2,6.1
"433","01524","00050",1,1
"434","01524","00052",1,0.65
"435","01524","00064",1,0.6
"436","01524","00077",1,7
"437","01524","00081",1,0.05
"438","01524","00082",1,0.25
"439","01524","00097",1,2.5
"440","01524","00106",1,1
"441","01524","00113",3,3
"442","01524","00137",2,2
"443","01525","00011",3,2.5
"444","01525","00012",1,0.5
"445","01525","00025",3,3.75
"446","01525","00045",1,0.5
"447","01525","00064",2,4
"448","01525","00074",1,0.25
"449","01525","00092",2,0.53
"450","01525","00098",1,1
"451","01525","00100",1,1
"452","01525","00108",1,0.15
"453","01525","00136",2,1.3
"454","01525","00137",1,3
"455","01525","00140",4,2.31
"456","01535","00011",1,0.32
"457","01535","00017",1,3.24
"458","01535","00023",1,1
"459","01535","00035",1,1
"460","01535","00050",1,3.5
"461","01535","00052",1,7.5
"462","01535","00068",1,2.25
"463","01535","00079",1,0.5
"464","01535","00087",1,1
"465","01535","00099",1,0.7
"466","01535","00103",2,0.82
"467","01535","00112",1,0.5
"468","01535","00117",1,2.75
"469","01547","00010",1,1.75
"470","01547","00022",1,1
"471","01547","00042",1,1
"472","01547","00044",1,1.1
"473","01547","00050",3,2.1
"474","01547","00060",2,1.95
"475","01547","00074",1,2
"476","01547","00079",1,5.5
"477","01547","00084",2,8.69
"478","01547","00090",1,1.5
"479","01547","00104",1,0.75
"480","01547","00114",1,1.23
"481","01547","00124",3,4.5
"482","01548","00010",1,1.77
"483","01548","00015",2,2.41
"484","01548","00028",1,2.92
"485","01548","00034",1,0.75
"486","01548","00044",3,4.25
"487","01548","00052",1,1
"488","01548","00055",2,1.44
"489","01548","00063",3,3.21
"490","01548","00074",1,1.5
"491","01548","00077",1,1.25
"492","01548","00089",1,0.76
"493","01548","00093",1,16
"494","01548","00105",2,3.125
"495","01548","00107",1,1.07
"496","01553","00004",1,2
"497","01553","00013",2,2.1
"498","01553","00015",1,2
"499","01553","00032",1,0.6
"500","01553","00036",1,0.5
"501","01553","00044",1,1
"502","01553","00055",2,0.7
"503","01553","00066",1,0.35
"504","01553","00071",1,0.3
"505","01553","00079",2,1.4
"506","01553","00090",3,2.85
"507","01553","00094",1,2
"508","01553","00105",2,4.5
"509","01553","00112",1,0.6
"510","01562","00002",1,3.75
"511","01562","00011",1,3.2
"512","01562","00012",2,3.61
"513","01562","00027",1,2.26
"514","01562","00039",2,4
"515","01562","00043",1,1.5
"516","01562","00052",1,0.5
"517","01562","00055",3,19.5
"518","01562","00063",1,1.5
"519","01562","00070",1,1.87
"520","01562","00088",1,6.49
"521","01562","00095",1,2.74
"522","01562","00099",1,4.5
"523","01562","00114",1,0.41
"524","01572","00004",2,5.191
"525","01572","00014",1,1.8
"526","01572","00033",2,3.5
"527","01572","00036",2,1.4
"528","01572","00038",5,10
"529","01572","00055",2,3.75
"530","01572","00056",1,0.25
"531","01572","00057",2,1.6
"532","01572","00072",1,0.5
"533","01572","00074",1,3
"534","01572","00087",1,0.7
"535","01572","00089",1,6
"536","01572","00102",1,0.22
"537","01581","00001",4,4.5
"538","01581","00004",3,8.719
"539","01581","00015",2,7.5
"540","01581","00031",1,3.5
"541","01581","00037",1,5
"542","01581","00040",1,1
"543","01581","00047",1,2.5
"544","01581","00051",1,2.5
"545","01581","00053",1,1
"546","01581","00063",1,5
"547","01581","00074",1,2
"548","01581","00089",2,3.5
"549","01581","00090",2,4
"550","01582","00007",3,8
"551","01582","00017",1,4.5
"552","01582","00031",5,11.25
"553","01582","00038",2,2.5
"554","01582","00049",4,11.3
"555","01582","00056",6,46.75
"556","01582","00057",2,6.5
"557","01582","00072",1,3
"558","01582","00085",1,4
"559","01582","00096",2,2.4
"560","01582","00106",6,5.5
"561","01582","00113",2,9.5
"562","01582","00128",2,7.5
"563","01582","00132",3,10
